ID	Word 	Lemma	Pos	Extra	Features	Headposition	Relation		EverythingElse
1	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@kvs1980m-words#@kvs1980m#1926.939#1927.248
2	дважды	дважды	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#1927.248#1927.557
3	уже	уже	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#1927.557#1927.866
4	по-моему	по-моему	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#1927.866#1928.175
5	проехался	проехаться	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@kvs1980m-words#@kvs1980m#1928.175#1928.484
6	со	с	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1928.484#1928.793
7	стендап-шоу	стендап-шоу	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#1928.793#1929.102
8	по	по	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1929.102#1929.411
9	стране	страна	NOUN	_	Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#1929.411#1929.72
10	правильно	правильно	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#1929.72#1930.029
11	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1930.029#1930.338
12	соответственно	соответственно	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#1930.338#1930.647
13	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@kvs1980m-words#@kvs1980m#1930.647#1930.956
14	мог	мочь	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#1930.956#1931.265
15	оценить	оценить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#1931.265#1931.574
16	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1931.574#1931.883
17	чего	что	PRON	_	Case=Gen	_	_	_	@kvs1980m-words#@kvs1980m#1931.883#1932.192
18	твоя	твой	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#1932.192#1932.501
19	аудитория	аудитория	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#1932.501#1932.81
20	про	про	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#1932.81#1933.119
