1	и	и	CCONJ	_	_	_	_	_	@dp1979m-words#@dp1979m#22.05#22.36
2	первый	первый	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#22.36#22.67
3	вопрос	вопрос	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#22.67#22.98
4	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#22.98#23.29
5	наверняка	наверняка	ADV	_	Degree=Pos	_	_	_	@dp1979m-words#@dp1979m#23.29#23.6
6	его	он	PRON	_	Case=Acc|Gender=Masc|Number=Sing|Person=3	_	_	_	@dp1979m-words#@dp1979m#23.6#23.91
7	часто	часто	ADV	_	Degree=Pos	_	_	_	@dp1979m-words#@dp1979m#23.91#24.22
8	вам	вы	PRON	_	Case=Dat|Number=Plur|Person=2	_	_	_	@dp1979m-words#@dp1979m#24.22#24.53
9	задают	задавать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dp1979m-words#@dp1979m#24.53#24.84
10	действительно	действительно	ADV	_	Degree=Pos	_	_	_	@dp1979m-words#@dp1979m#24.95#25.196
11	ли	ли	PART	_	_	_	_	_	@dp1979m-words#@dp1979m#25.196#25.442
12	все	все	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#25.442#25.688
13	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#25.688#25.934
14	что	что	PRON	_	Case=Acc	_	_	_	@dp1979m-words#@dp1979m#25.934#26.18
15	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	@dp1979m-words#@dp1979m#26.18#26.426
16	видим	видеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dp1979m-words#@dp1979m#26.426#26.672
17	в	в	ADP	_	_	_	_	_	@dp1979m-words#@dp1979m#26.672#26.918
18	телевизоре	телевизор	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#26.918#27.164
19	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#27.164#27.41
20	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#27.41#27.656
21	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#27.656#27.902
22	только	только	PART	_	_	_	_	_	@dp1979m-words#@dp1979m#27.902#28.148
23	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#28.148#28.394
24	импровизация	импровизация	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#28.394#28.64
25	?	?	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#28.64#28.89
26	ну	ну	PART	_	_	_	_	_	@dp1979m-words#@dp1979m#42.66#42.885
27	слушайте	слушать	VERB	_	Aspect=Imp|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@dp1979m-words#@dp1979m#42.885#43.11
28	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#43.11#43.335
29	ну	ну	PART	_	_	_	_	_	@dp1979m-words#@dp1979m#43.335#43.56
30	если	если	SCONJ	_	_	_	_	_	@dp1979m-words#@dp1979m#43.56#43.785
31	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@dp1979m-words#@dp1979m#43.785#44.01
32	такие	такой	DET	_	Case=Nom|Number=Plur	_	_	_	@dp1979m-words#@dp1979m#44.01#44.235
33	мастера	мастер	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#44.235#44.46
34	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#44.46#44.685
35	эм	э	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#44.685#44.91
36	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#44.91#45.135
37	экспромта	экспромт	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#45.135#45.36
38	зачем	зачем	ADV	_	Degree=Pos	_	_	_	@dp1979m-words#@dp1979m#45.99#46.257
39	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#46.257#46.524
40	э	эра	INTJ	_	_	_	_	_	@dp1979m-words#@dp1979m#46.524#46.791
41	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#46.791#47.058
42	вопросы	вопрос	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@dp1979m-words#@dp1979m#47.058#47.325
43	к	к	ADP	_	_	_	_	_	@dp1979m-words#@dp1979m#47.325#47.592
44	сегоднящнему	сегоднящний	ADJ	_	Case=Dat|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#47.592#47.859
45	интервью	интервью	NOUN	_	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#47.859#48.126
46	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#48.126#48.393
47	попросили	просить	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@dp1979m-words#@dp1979m#48.393#48.66
48	заранее	заранее	ADV	_	Degree=Pos	_	_	_	@dp1979m-words#@dp1979m#48.66#48.927
49	?	?	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#48.927#49.2
50	самый	самый	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#51.82#52.08
51	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#52.08#52.34
52	самый	самый	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#52.34#52.6
53	популярный	популярный	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#52.6#52.86
54	ответ	ответ	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#52.86#53.12
55	в	в	ADP	_	_	_	_	_	@dp1979m-words#@dp1979m#53.12#53.38
56	нашей	наш	DET	_	Case=Loc|Gender=Fem|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#53.38#53.64
57	стране	страна	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#53.64#53.9
58	кто-то	кто-то	PRON	_	Case=Nom	_	_	_	@dp1979m-words#@dp1979m#56.7#57.15
59	другой	другой	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#57.15#57.6
60	а	а	CCONJ	_	_	_	_	_	@dp1979m-words#@dp1979m#67.853#68.051
61	что	что	PRON	_	Case=Nom	_	_	_	@dp1979m-words#@dp1979m#68.051#68.249
62	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#68.249#68.447
63	за	за	ADP	_	_	_	_	_	@dp1979m-words#@dp1979m#68.447#68.645
64	темы-то	темы-то	PRON	_	Case=Nom	_	_	_	@dp1979m-words#@dp1979m#68.645#68.843
65	такие	такой	DET	_	Case=Nom|Number=Plur	_	_	_	@dp1979m-words#@dp1979m#68.843#69.041
66	?	?	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#69.041#69.24
67	а	а	CCONJ	_	_	_	_	_	@dp1979m-words#@dp1979m#82.82#83.041
68	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#83.041#83.262
69	подожди	подождать	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@dp1979m-words#@dp1979m#83.262#83.483
70	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#83.483#83.704
71	но	но	CCONJ	_	_	_	_	_	@dp1979m-words#@dp1979m#83.704#83.925
72	а	а	X	_	Foreign=Yes	_	_	_	@dp1979m-words#@dp1979m#83.925#84.146
73	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#84.146#84.367
74	эм	эм	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#84.367#84.588
75	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#84.588#84.809
76	если	если	SCONJ	_	_	_	_	_	@dp1979m-words#@dp1979m#84.809#85.03
77	бы	бы	AUX	_	_	_	_	_	@dp1979m-words#@dp1979m#85.03#85.251
78	пришел	прийти	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@dp1979m-words#@dp1979m#85.251#85.472
79	Арсений	Арсений	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#85.472#85.7
80	вообще	вообще	ADV	_	Degree=Pos	_	_	_	@dp1979m-words#@dp1979m#85.702#85.888
81	какие	какой	DET	_	Case=Acc|Number=Plur	_	_	_	@dp1979m-words#@dp1979m#85.888#86.074
82	вопросы	вопрос	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@dp1979m-words#@dp1979m#86.074#86.26
83	?	?	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#86.26#86.446
84	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#86.446#86.632
85	Чего	чий	ADV	_	Degree=Pos	_	_	_	@dp1979m-words#@dp1979m#86.632#86.818
86	нельзя	нельзя	ADV	_	Degree=Pos	_	_	_	@dp1979m-words#@dp1979m#86.818#87.004
87	то	то	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#87.004#87.19
88	спрашивать	спрашивать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@dp1979m-words#@dp1979m#87.19#87.376
89	?	?	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#87.376#87.57
90	сами	сам	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@dp1979m-words#@dp1979m#87.59#87.852
91	себе	себя	PRON	_	Case=Dat	_	_	_	@dp1979m-words#@dp1979m#87.852#88.114
92	такие	такой	DET	_	Case=Acc|Number=Plur	_	_	_	@dp1979m-words#@dp1979m#88.114#88.376
93	какие-то	какой-то	DET	_	Case=Acc|Number=Plur	_	_	_	@dp1979m-words#@dp1979m#88.376#88.638
94	рамки	рамка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	@dp1979m-words#@dp1979m#88.638#88.9
95	ставите	ставить	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dp1979m-words#@dp1979m#88.9#89.162
96	?	?	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#89.162#89.43
97	абсолютно	абсолютно	ADV	_	Degree=Pos	_	_	_	@dp1979m-words#@dp1979m#90.55#90.825
98	?	?	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#90.825#91.1
99	Получается	получаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@dp1979m-words#@dp1979m#105.97#106.425
100	?	?	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#106.425#106.88
101	бывает	бывать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dp1979m-words#@dp1979m#110.43#110.694
102	ли	ли	PART	_	_	_	_	_	@dp1979m-words#@dp1979m#110.694#110.958
103	такое	такой	DET	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#110.958#111.222
104	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#111.222#111.486
105	что	что	SCONJ	_	_	_	_	_	@dp1979m-words#@dp1979m#111.486#111.75
106	импровизация	импровизация	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#111.75#112.014
107	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#112.014#112.278
108	ну	ну	PART	_	_	_	_	_	@dp1979m-words#@dp1979m#112.278#112.542
109	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#112.542#112.806
110	вот	вот	PART	_	_	_	_	_	@dp1979m-words#@dp1979m#112.806#113.07
111	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#113.07#113.334
112	ну	ну	PART	_	_	_	_	_	@dp1979m-words#@dp1979m#113.334#113.598
113	не	не	PART	_	_	_	_	_	@dp1979m-words#@dp1979m#113.598#113.862
114	поперло	поперть	VERB	_	Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@dp1979m-words#@dp1979m#113.862#114.126
115	?	?	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#114.126#114.39
116	как	как	SCONJ	_	_	_	_	_	@dp1979m-words#@dp1979m#126.08#126.365
117	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#126.365#126.65
118	происходит	происходить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dp1979m-words#@dp1979m#126.65#126.935
119	?	?	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#126.935#127.22
120	за	за	ADP	_	_	_	_	_	@dp1979m-words#@dp1979m#157.45#157.697
121	все	весь	DET	_	Case=Acc|Gender=Neut|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#157.697#157.944
122	время	время	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#157.944#158.191
123	существование	существование	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#158.191#158.438
124	проекта	проект	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#158.438#158.685
125	проекта	проект	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#158.685#158.932
126	?	?	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#158.932#159.18
127	Последний	последний	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#183.01#183.289
128	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#183.289#183.568
129	вот	вот	PART	_	_	_	_	_	@dp1979m-words#@dp1979m#183.568#183.847
130	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#183.847#184.126
131	какой-то	какой-то	DET	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#184.126#184.405
132	эпичный	эпичный	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#184.405#184.684
133	такой	такой	DET	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#184.684#184.963
134	случай	случай	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dp1979m-words#@dp1979m#184.963#185.242
135	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#185.242#185.521
136	когда	когда	SCONJ	_	_	_	_	_	@dp1979m-words#@dp1979m#185.521#185.8
137	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#185.8#186.079
138	не	не	PART	_	_	_	_	_	@dp1979m-words#@dp1979m#186.079#186.358
139	пошло	пойти	VERB	_	Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@dp1979m-words#@dp1979m#186.358#186.637
140	?	?	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#186.637#186.92
141	а	а	CCONJ	_	_	_	_	_	@dp1979m-words#@dp1979m#221.0#221.312
142	/	/	PUNCT	_	_	_	_	_	@dp1979m-words#@dp1979m#221.312#221.624
143	хорошо	хороший	ADV	_	Degree=Pos	_	_	_	@dp1979m-words#@dp1979m#221.624#221.936
