ID;Word ;Lemma;Pos;Extra;Features;Headposition;Relation;;EverythingElse
1;и;и;CCONJ;_;_;_;_;_;@dp1979m-words#@dp1979m#22.05#22.36
2;первый;первый;NUM;_;Case=Nom|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#22.36#22.67
3;вопрос;вопрос;NOUN;_;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#22.67#22.98
4;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#22.98#23.29
5;наверняка;наверняка;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#23.29#23.6
6;его;он;PRON;_;Case=Acc|Gender=Masc|Number=Sing|Person=3;_;_;_;@dp1979m-words#@dp1979m#23.6#23.91
7;часто;часто;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#23.91#24.22
8;вам;вы;PRON;_;Case=Dat|Number=Plur|Person=2;_;_;_;@dp1979m-words#@dp1979m#24.22#24.53
9;задают;задавать;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#24.53#24.84
10;действительно;действительно;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#24.95#25.196
11;ли;ли;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#25.196#25.442
12;всё;все;PRON;_;"
Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing";_;_;_;@dp1979m-words#@dp1979m#25.442#25.688
13;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#25.688#25.934
14;что;что;PRON;_;Case=Acc;_;_;_;@dp1979m-words#@dp1979m#25.934#26.18
15;мы;мы;PRON;_;Case=Nom|Number=Plur|Person=1;_;_;_;@dp1979m-words#@dp1979m#26.18#26.426
16;видим;видеть;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#26.426#26.672
17;в;в;ADP;_;_;_;_;_;@dp1979m-words#@dp1979m#26.672#26.918
18;телевизоре;телевизор;NOUN;_;Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#26.918#27.164
19;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#27.164#27.41
20;это;это;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#27.41#27.656
21;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#27.656#27.902
22;только;только;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#27.902#28.148
23;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#28.148#28.394
24;импровизация;импровизация;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#28.394#28.64
25;?;?;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#28.64#28.89
26;ну;ну;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#42.66#42.885
27;слушайте;слушать;VERB;_;Aspect=Imp|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#42.885#43.11
28;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#43.11#43.335
29;ну;ну;PART;_;_;_;_;_;@dp1979m-words#@dp1979m#43.335#43.56
30;если;если;SCONJ;_;_;_;_;_;@dp1979m-words#@dp1979m#43.56#43.785
31;вы;вы;PRON;_;Case=Nom|Number=Plur|Person=2;_;_;_;@dp1979m-words#@dp1979m#43.785#44.01
32;такие;такой;DET;_;Case=Nom|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#44.01#44.235
33;мастера;мастер;NOUN;_;Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#44.235#44.46
34;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#44.46#44.685
35;эм;эм;INTJ;_;;_;_;_;@dp1979m-words#@dp1979m#44.685#44.91
36;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#44.91#45.135
37;экспромта;экспромт;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#45.135#45.36
38;зачем;зачем;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#45.99#46.257
39;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#46.257#46.524
40;э;э;INTJ;_;_;_;_;_;@dp1979m-words#@dp1979m#46.524#46.791
41;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#46.791#47.058
42;вопросы;вопрос;NOUN;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur;_;_;_;@dp1979m-words#@dp1979m#47.058#47.325
43;к;к;ADP;_;_;_;_;_;@dp1979m-words#@dp1979m#47.325#47.592
44;сегодняшнему;сегодняшний;ADJ;_;Case=Dat|Degree=Pos|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#47.592#47.859
45;интервью;интервью;NOUN;_;Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#47.859#48.126
46;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#48.126#48.393
